,Alimento,Descricao,Grupo,Calorias,Carboidratos,Proteinas,Gorduras,FonteDeCarboidratos,IG
0,Babyfood,"Babyfood, cereal, barley, with milk powder, dry",Babyfoods,384,73.75,12.73,5.7,1,45.0
1,Babyfood,"Babyfood, cereal, barley, with milk powder, prepared with water",Babyfoods,122,23.45,4.05,1.81,1,45.0
2,Babyfood,"Babyfood, cereal, mixed grain, dry",Babyfoods,396,73.41,12.54,6.28,1,45.0
3,Babyfood,"Babyfood, cereal, mixed grain, prepared with formula or breast milk",Babyfoods,167,27.74,4.89,4.22,1,45.0
4,Babyfood,"Babyfood, cereal, mixed grain, with biscuit, milk powder and fruit, dry",Babyfoods,404,71.68,13.0,9.05,1,45.0
5,Babyfood,"Babyfood, cereal, mixed grain, with biscuit, milk powder and fruit, prepared with water",Babyfoods,117,20.84,3.78,2.63,1,45.0
6,Babyfood,"Babyfood, cereal, mixed grain, with fruit, dry",Babyfoods,372,75.04,10.35,4.73,1,45.0
7,Babyfood,"Babyfood, cereal, mixed grain, with fruit, prepared with formula or breast milk",Babyfoods,140,23.83,3.63,3.65,1,45.0
8,Babyfood,"Babyfood, cereal, mixed grain, with milk powder and fruit, dry",Babyfoods,395,70.27,14.98,7.7,1,45.0
9,Babyfood,"Babyfood, cereal, mixed grain, with milk powder and fruit, prepared with water",Babyfoods,123,21.95,4.68,2.41,1,45.0
10,Babyfood,"Babyfood, cereal, mixed grain, with milk powder, dry",Babyfoods,400,69.28,16.19,8.47,1,45.0
11,Babyfood,"Babyfood, cereal, mixed grain, with milk powder, prepared with water",Babyfoods,167,28.96,6.77,3.54,1,45.0
12,Babyfood,"Babyfood, cereal, oat, dry",Babyfoods,403,72.58,11.88,7.5,1,45.0
13,Babyfood,"Babyfood, cereal, oat, prepared with formula or breast milk",Babyfoods,153,24.23,4.17,4.39,1,45.0
14,Babyfood,"Babyfood, cereal, oat, with milk powder and fruit, dry",Babyfoods,392,72.3,12.7,7.74,1,45.0
15,Babyfood,"Babyfood, cereal, oat, with milk powder and fruit, prepared with water",Babyfoods,118,21.74,3.82,2.33,1,45.0
16,Babyfood,"Babyfood, cereal, oat, with milk powder, dry",Babyfoods,414,65.67,18.11,9.5,1,45.0
17,Babyfood,"Babyfood, cereal, Oat, with milk powder, prepared with water",Babyfoods,121,19.15,5.28,2.77,1,45.0
